date, minTemp, maxTemp, clear, cloudy, rain, snow, storm, wind, weekend, holiday, visitorTotal, visitorMale, visitorFemale, visitorKids, VisitorTeenage, VisitorAdult, VisitorElderly, OverMonthlyAverage 
2015-01-01,-1, 4, 0, 0, 0, 0, 0, 4, 0, 1,7159, 3516, 3643, 2140, 1200, 408, 3411,1
2015-01-02,2, 8, 0, 1, 0, 0, 0, 3, 0, 0,4662, 1663, 2999, 633, 1401, 418, 2210,0
2015-01-03,4, 12, 0, 1, 0, 0, 0, 3, 1, 0,6623, 2740, 3883, 946, 1897, 722, 3058,1
2015-01-04,9, 16, 0, 0, 0, 0, 0, 3, 1, 0,7542, 2573, 4969, 3740, 821, 800, 2181,1
2015-01-05,5, 19, 0, 1, 1, 0, 0, 3, 0, 0,212, 83, 129, 21, 42, 70, 79,0
2015-01-06,3, 8, 0, 0, 1, 0, 0, 4, 0, 0,4213, 1084, 3129, 1472, 341, 691, 1709,0
2015-01-07,2, 7, 0, 1, 0, 0, 0, 3, 0, 0,5185, 1945, 3240, 1853, 428, 503, 2401,0
2015-01-08,2, 8, 0, 0, 0, 0, 0, 3, 0, 0,4918, 1111, 3807, 2227, 372, 669, 1650,0
2015-01-09,4, 11, 0, 0, 0, 0, 0, 3, 0, 0,7405, 930, 6475, 2288, 1288, 778, 3051,1
2015-01-10,4, 13, 0, 1, 0, 0, 0, 3, 1, 0,4659, 1193, 3466, 1951, 1309, 600, 799,0
2015-01-11,5, 14, 0, 0, 0, 0, 0, 3, 1, 0,6523, 2861, 3662, 2229, 848, 1265, 2181,1
2015-01-12,6, 9, 0, 1, 0, 0, 0, 3, 0, 0,57, 24, 33, 12, 4, 10, 31,0
2015-01-13,7, 10, 0, 0, 1, 0, 0, 3, 0, 0,6585, 675, 5910, 2922, 1398, 459, 1806,1
2015-01-14,6, 10, 0, 1, 1, 0, 0, 3, 0, 0,4046, 902, 3144, 943, 439, 1318, 1346,0
2015-01-15,4, 10, 0, 1, 0, 0, 0, 3, 0, 0,7718, 3781, 3937, 2613, 2455, 443, 2207,1
2015-01-16,4, 10, 0, 1, 0, 0, 0, 3, 0, 0,4578, 1131, 3447, 1351, 834, 434, 1959,0
2015-01-17,3, 7, 0, 1, 0, 0, 0, 3, 1, 0,7235, 2468, 4767, 1389, 1781, 1304, 2761,1
2015-01-18,3, 10, 0, 1, 0, 0, 0, 3, 1, 0,4119, 1102, 3017, 1875, 251, 789, 1204,0
2015-01-19,4, 10, 0, 1, 0, 0, 0, 3, 0, 0,249, 71, 178, 24, 75, 55, 95,0
2015-01-20,7, 11, 0, 1, 1, 0, 0, 3, 0, 0,4280, 1942, 2338, 1659, 909, 615, 1097,0
2015-01-21,3, 14, 0, 1, 0, 0, 0, 4, 0, 0,5448, 2292, 3156, 879, 1201, 724, 2644,0
2015-01-22,2, 8, 0, 1, 0, 0, 0, 4, 0, 0,6634, 1291, 5343, 2747, 1835, 928, 1124,1
2015-01-23,5, 10, 0, 0, 0, 0, 0, 3, 0, 0,4080, 827, 3253, 1089, 743, 349, 1899,0
2015-01-24,11, 15, 0, 1, 0, 0, 0, 3, 1, 0,4097, 1948, 2149, 922, 810, 398, 1967,0
2015-01-25,8, 15, 0, 0, 1, 0, 0, 3, 1, 0,4006, 1319, 2687, 1532, 696, 566, 1212,0
2015-01-26,3, 11, 0, 0, 1, 0, 0, 3, 0, 0,3, 0, 3, 0, 1, 1, 1,0
2015-01-27,3, 8, 0, 1, 1, 1, 0, 5, 0, 0,7723, 1004, 6719, 1741, 2536, 1513, 1933,1
2015-01-28,3, 5, 0, 0, 1, 1, 0, 4, 0, 0,5234, 1279, 3955, 1547, 1219, 1189, 1279,0
